elo.diff;outcome
-54.8;1
-9.59999999999991;0
-19.1999999999999;1
109;1
56.6000000000001;0
-34.6;0
62;0
48.2;0
83.1999999999999;1
-92.8;0
1.39999999999986;1
76.5999999999999;1
-134;0
-8;1
-58;0
-17.2;1
-149.6;0
99.8;0
-34.8000000000001;0
57.8;0
38.4000000000001;0
-153.8;1
-24.8000000000001;0
5.39999999999998;1
37.4;1
-30.8;1
-31.5999999999999;1
-28.2;1
-0.599999999999909;0
-53.2;1
127.4;1
-209.6;0
-23.4000000000001;1
-163.6;0
73.2;0
-181;0
36.5999999999999;1
0.400000000000091;1
-59.4000000000001;0
31.6;1
-45.2;1
-3.40000000000009;1
-73.4000000000001;1
-51.6000000000001;1
19.4000000000001;1
-30.4000000000001;0
-14.2;1
-63.9999999999999;0
3;0
-16.8000000000002;1
57.4;1
-134.4;0
9.39999999999998;0
54.2;0
27.4000000000001;0
103.2;1
-56.6000000000001;0
-14;1
88.8000000000001;1
59.4000000000001;1
34.2;1
20.8;0
-34.2;0
97;1
20.1999999999998;1
-179.8;0
-66.6;1
355.2;1
36.4000000000001;0
-101.8;1
173.8;1
-72.1999999999999;0
54.8;1
-3.20000000000005;1
-119.4;1
-16.4;0
-100.6;1
-57.5999999999999;0
26.8;0
6.20000000000005;0
61;1
-27;0
-18.2;0
11.8;1
117.4;0
-205.4;1
-61.1999999999999;1
112.2;1
44.8000000000001;1
-195.4;0
105.6;1
-72.1999999999999;1
55.4;0
-34.1999999999998;0
66.6000000000001;1
-14;1
-54.2;0
136.4;1
-91;0
-113.4;0
-102.4;1
76.2;0
374.6;1
7.39999999999998;0
-96.4000000000001;1
-10.6;0
40.6000000000001;0
71.4000000000001;1
33.3999999999999;0
-125.4;0
-25.4000000000001;1
-65;1
84.8;0
-3.20000000000005;1
-80.8;0
0.399999999999977;0
218.6;0
-100.2;1
121;1
-16.2;1
69.8;1
-94.1999999999999;1
-71.2;0
-17;1
79.8;1
28;1
144.4;1
-94.4;1
-58.2;1
68.2;0
-108.6;1
-100.6;1
43;1
69.1999999999998;1
-95.9999999999999;0
-24.4000000000001;0
-246.6;0
-13.8000000000001;1
-209.2;0
24.6000000000001;0
-107.8;0
-38.3999999999999;1
-35.4;0
34.2;0
-73.8;1
-130.6;1
14.2;0
-0.199999999999932;1
-107.6;1
64.6;0
93.6000000000001;0
-36;1
69.6;0
-63.2;0
86.2;0
-75;1
74.4;0
-42.4000000000001;0
-31;1
-76.8;1
-31;1
-111.2;0
-92.6;1
99.4000000000001;0
12;1
141.8;1
114.4;1
14.8;0
13.8000000000002;1
25.1999999999999;1
-55.4;0
-6.39999999999986;0
-80.2;0
83.2;1
-92.8;0
9.39999999999998;1
71;1
43.8000000000001;0
62.5999999999999;1
-144;0
119.4;1
-87.2;1
-170.2;1
-75.4000000000001;1
-364.2;0
-99;0
6.79999999999995;0
27.8;1
81.8;0
-4;1
27;0
0.599999999999909;1
-49.5999999999999;1
-283;0
98;0
-44.3999999999999;0
-92.4000000000001;0
110.2;0
86.5999999999999;0
-23.4;1
56.8;0
-19;0
-29.2;1
104.4;0
-119;1
-115;0
103;1
54.4;0
145;1
84.2;0
-72.8000000000001;1
-101.6;1
-14.6000000000001;1
160.2;1
119.2;0
160.4;0
-33;0
-72.8;1
70.2;0
23.6000000000001;0
54;0
72.4;1
272.8;0
-71.4000000000001;1
410.8;1
-88.4000000000001;0
47;1
-74.2;0
-0.799999999999955;1
127.2;1
210.2;1
94.3999999999999;1
18.2;0
-140.6;0
9.19999999999982;1
-99.4;1
-21.8;0
-41;0
-42;1
21.8;1
33.3999999999999;0
71.6;1
-18.8000000000002;1
-126.2;1
-84.2;1
-107.8;0
70.8;1
-10.2;1
142.2;1
18.1999999999998;1
-88.8000000000001;1
-70.8;0
46.5999999999999;0
-13;1
71;0
36;0
-47;1
58;1
-23.8;1
-158.8;0
1.79999999999995;0
-39.8000000000001;1
-321.6;0
-129.6;1
51.4;0
-23;0
-5.19999999999993;0
-2.80000000000018;0
70.0000000000001;1
84.4000000000001;0
-24.2;0
-105.4;1
-214.8;0
55.2;0
30.1999999999998;0
-67.2;0
-76.5999999999999;1
13.2;0
-2.20000000000005;1
-6.80000000000018;1
98.2;0
-74.3999999999999;1
191.2;0
14.6;0
-72.6000000000001;1
-145.6;0
-167.2;0
-71.5999999999999;1
26.2;1
-79.8000000000002;1
72.8;0
-127.4;0
48.6;1
32.2;0
-35.8;0
144.4;0
-165.4;1
-81.3999999999999;0
-46.6;1
53.3999999999999;0
71.8;1
-89.6;1
11.2;0
-39.4;0
-25.5999999999999;0
14;0
126;0
4.80000000000018;1
-11.4;0
-123.6;1
0.800000000000182;0
62.2;1
-5.59999999999991;1
0.799999999999955;0
135.2;1
75.2;1
-99.4000000000001;1
99.4000000000001;1
-251.4;0
54.8000000000001;1
61.8;1
-22;1
-22.4000000000001;1
28.8;1
-54.6;0
-65;1
-78.8000000000001;0
-41.5999999999999;0
12;0
130.6;1
-19.4;0
116.8;1
-98.2;0
89.5999999999999;1
-6;1
48.5999999999999;0
-146.2;1
50.6000000000001;1
-15.4;1
-27.4000000000001;0
88.8;1
28.8;1
82;0
-9.79999999999995;0
221.6;1
-84.5999999999999;1
-21.6;0
-7.79999999999995;0
-9;1
73.8;1
-264.4;0
26.8000000000002;0
152.4;1
-96.8000000000001;1
-35.8;0
-136.2;1
-99.4;0
37;1
69.4;1
55.2;1
-230.2;0
95.8000000000002;0
126.2;1
-56.8;1
-244.4;1
-17.1999999999998;0
-21.4;1
17.6;0
26.5999999999999;0
-87.2;0
-121.4;1
-18.6000000000001;1
-26.5999999999999;0
21.4000000000001;1
481.4;1
291;0
246.2;1
74.5999999999999;1
195;1
86.4;0
38.4;1
-68.5999999999999;1
-401.6;0
-58.6;1
10.2;1
-52;0
160.6;1
126.6;0
-81.8;1
-26.1999999999998;1
147.2;1
-14.6000000000001;0
113.2;0
308;1
5;1
-30.4000000000001;0
17.8;0
94.8;1
-104.8;1
35.8;1
-68.8;1
-92.8;1
93.4000000000001;0
-90.8;0
92;1
83.8;1
9.79999999999995;0
110.4;1
35.6;0
-88.2;1
51.8;0
-22;0
-48;0
-142.2;0
-87;0
0.799999999999955;0
-81.4;1
-30.2;1
-15.8;1
-106.8;0
-277;0
6.40000000000009;1
118.2;1
20.8;0
-74.9999999999999;1
17.8;0
-36.4;0
87.8000000000001;0
-29.8;0
117;0
-22.8000000000001;1
54.8;0
-28.2;0
15.2;1
18.2;1
-18.2;0
-140.4;1
-70.8;0
-14.8000000000002;1
22;1
47.8000000000001;1
61.6;0
-196;1
-182.6;0
-0.799999999999955;1
42;1
30.4;1
-269;0
-97.8;1
-21.8000000000001;1
-64;1
-0.200000000000045;0
-70.8;0
33;1
23.5999999999999;0
15.3999999999999;0
-68.9999999999999;1
36.3999999999999;0
-61.4000000000001;1
-86;0
-98;1
-5.39999999999986;1
-28.5999999999999;0
-32.4000000000001;0
-282.8;1
32.6;1
8.20000000000005;1
-113.8;0
190.6;1
0.200000000000045;0
-80.2;1
52;1
147.2;0
-103.2;0
65.1999999999998;1
-3.20000000000005;1
33.6000000000001;0
36.5999999999999;1
-45.3999999999999;1
-0.200000000000045;1
-62.1999999999998;1
93.1999999999999;1
28.8;1
105;1
-22;0
106.2;1
-76.1999999999999;0
-160.4;0
-28.4000000000001;1
-93.6;0
110;0
83;1
-16;1
-66.2;1
-16.5999999999999;1
10.8;1
69;1
-43;0
-117.2;1
